gene_id	chromosome	start	end	strand	gene_name
LOC105378825	chr1	86320304	86330113	-	LOC105378825
ODF2L	chr1	86346837	86396323	-	ODF2L
RPL7L1P22	chr1	86404179	86404902	-	RPL7L1P22
CLCA2	chr1	86424171	86456553	+	CLCA2
CLCA1	chr1	86468927	86500259	+	CLCA1
LOC124904210	chr1	86475896	86527596	-	LOC124904210
LOC105378827	chr1	86502002	86504330	-	LOC105378827
LOC105378826	chr1	86520363	86523283	+	LOC105378826
CLCA4	chr1	86547078	86580754	+	CLCA4
CDCA4P2	chr1	86551316	86553558	-	CDCA4P2
CLCA4-AS1	chr1	86571181	86704493	-	CLCA4-AS1
CLCA3P	chr1	86634276	86655376	+	CLCA3P
SH3GLB1	chr1	86704576	86748184	+	SH3GLB1
RPL17P5	chr1	86784892	86785505	+	RPL17P5
LOC105378831	chr1	86821521	86825909	-	LOC105378831
SELENOF	chr1	86862445	86914577	-	SELENOF
HS2ST1	chr1	86914635	87109982	+	HS2ST1
LOC124904211	chr1	86970092	86978293	+	LOC124904211
LOC100421465	chr1	87044734	87045877	-	LOC100421465
LOC100421468	chr1	87045875	87046718	+	LOC100421468
LINC01140	chr1	87129765	87169204	+	LINC01140
LINC02801	chr1	87212669	87251331	+	LINC02801
LMO4	chr1	87328880	87348923	+	LMO4
LINC01364	chr1	87353524	87371655	-	LINC01364
LOC105378833	chr1	87391195	87430431	+	LOC105378833
LOC105378834	chr1	87440704	87455026	+	LOC105378834
RNA5SP52	chr1	87453240	87453373	-	RNA5SP52
LOC107985408	chr1	87500361	87528613	+	LOC107985408
LOC105378835	chr1	87526334	87528917	-	LOC105378835
LOC107985518	chr1	87620803	87630449	-	LOC107985518
LOC124904212	chr1	87803660	87826914	-	LOC124904212
LINC01773	chr1	87899456	87906528	-	LINC01773
LOC101927871	chr1	87959878	87966731	+	LOC101927871
LOC105378836	chr1	87965169	87976884	-	LOC105378836
LOC105378839	chr1	88462888	88469762	+	LOC105378839
RN7SL583P	chr1	88477828	88478114	-	RN7SL583P
PKN2-AS1	chr1	88537513	88685204	-	PKN2-AS1
RPL36AP10	chr1	88577845	88578288	+	RPL36AP10
LOC105378838	chr1	88615287	88631174	+	LOC105378838
PKN2	chr1	88684273	88836255	+	PKN2
LOC124904213	chr1	88741848	88744907	+	LOC124904213
LOC124904214	chr1	88789635	88803791	+	LOC124904214
RNU6-125P	chr1	88816779	88816885	+	RNU6-125P
ELOCP19	chr1	88829019	88829443	+	ELOCP19
GTF2B	chr1	88852633	88891567	-	GTF2B
KYAT3	chr1	88921044	88992960	-	KYAT3
LOC100130455	chr1	88923388	88923985	+	LOC100130455
RBMXL1	chr1	88979456	88992629	-	RBMXL1
LOC124904215	chr1	88993107	88995898	+	LOC124904215
GBP3	chr1	89006680	89022866	-	GBP3
LOC105378841	chr1	89041743	89099485	+	LOC105378841
GBP1	chr1	89052319	89065208	-	GBP1
PTGES3P1	chr1	89103119	89104954	-	PTGES3P1
GBP2	chr1	89106132	89126114	-	GBP2
LOC112268267	chr1	89117778	89125231	+	LOC112268267
LOC105378842	chr1	89128414	89179798	+	LOC105378842
GBP7	chr1	89131742	89176003	-	GBP7
GBP4	chr1	89181144	89198942	-	GBP4
LOC107985076	chr1	89198347	89206355	+	LOC107985076
LOC100421401	chr1	89237424	89302958	+	LOC100421401
GBP5	chr1	89256189	89272860	-	GBP5
LOC729930	chr1	89289258	89290362	-	LOC729930
GBP6	chr1	89364059	89388160	+	GBP6
CAPNS1P1	chr1	89394021	89394660	+	CAPNS1P1
GBP1P1	chr1	89407679	89424934	+	GBP1P1
LOC105378844	chr1	89471775	89479972	-	LOC105378844
LRRC8B	chr1	89524829	89597861	+	LRRC8B
LOC124904216	chr1	89546131	89550889	-	LOC124904216
LOC128092251	chr1	89579592	89579654	+	LOC128092251
LRRC8C	chr1	89615824	89719533	+	LRRC8C
LRRC8C-DT	chr1	89624849	89632894	-	LRRC8C-DT
LOC100505788	chr1	89661053	89661533	-	LOC100505788
LOC107985743	chr1	89743813	89758938	+	LOC107985743
LOC124904833	chr1	89768212	89768318	-	LOC124904833
LOC107985744	chr1	89771921	89788298	+	LOC107985744
LOC101927975	chr1	89788370	89790495	+	LOC101927975
LRRC8D-DT	chr1	89820174	89821794	-	LRRC8D-DT
LRRC8D	chr1	89821032	89936611	+	LRRC8D
LOC105378847	chr1	89965157	89986818	+	LOC105378847
RN7SKP272	chr1	89987713	89987944	-	RN7SKP272
GEMIN8P4	chr1	89993265	89994966	-	GEMIN8P4
ZNF326	chr1	89995110	90035533	+	ZNF326
LOC105378848	chr1	90115172	90118603	+	LOC105378848
LOC105378849	chr1	90219425	90285230	+	LOC105378849
RNU6-695P	chr1	90253456	90253559	-	RNU6-695P
LOC107985088	chr1	90278616	90300907	-	LOC107985088
LOC105378850	chr1	90377942	90401146	-	LOC105378850
LOC105378851	chr1	90475830	90488150	-	LOC105378851
LINC02787	chr1	90511987	90547930	-	LINC02787
SNORD3G	chr1	90657750	90657963	+	SNORD3G
BARHL2	chr1	90711539	90717302	-	BARHL2
LINC02609	chr1	90782984	90851650	-	LINC02609
LOC124904217	chr1	90807472	90810508	-	LOC124904217
LINC02788	chr1	90835663	90849472	+	LINC02788
LINC01763	chr1	90851759	90854899	+	LINC01763
PHKA1P1	chr1	90892990	90894009	-	PHKA1P1
ZNF644	chr1	90915304	91022035	-	ZNF644
RPL5P6	chr1	91023875	91024867	+	RPL5P6
HFM1	chr1	91260766	91408007	-	HFM1
FEN1P1	chr1	91328242	91330256	+	FEN1P1
LOC124904661	chr1	91412649	91412725	+	LOC124904661
LOC107985417	chr1	91456263	91458190	+	LOC107985417
LOC105378856	chr1	91489021	91500848	-	LOC105378856
CDC7	chr1	91500851	91525764	+	CDC7
LOC102723436	chr1	91518533	91569513	-	LOC102723436
WDR82P2	chr1	91531954	91535875	-	WDR82P2
RPL39P13	chr1	91600118	91600507	+	RPL39P13
HSP90B3P	chr1	91642518	91644341	+	HSP90B3P
TGFBR3	chr1	91680343	91906002	-	TGFBR3
LOC124904659	chr1	91760341	91760494	-	LOC124904659
RN7SL653P	chr1	91829774	91830066	-	RN7SL653P
BRDT	chr1	91949371	92014428	+	BRDT
LOC124904218	chr1	92021926	92030387	-	LOC124904218
EPHX4	chr1	92029985	92063538	+	EPHX4
LPCAT2BP	chr1	92066460	92067773	+	LPCAT2BP
SETSIP	chr1	92074533	92075411	-	SETSIP
BTBD8	chr1	92080345	92184723	+	BTBD8
GAPDHP46	chr1	92114639	92115832	-	GAPDHP46
PRKAR1AP1	chr1	92125297	92126301	+	PRKAR1AP1
LOC100419803	chr1	92203354	92203978	+	LOC100419803
C1orf146	chr1	92217915	92245813	+	C1orf146
ACTBP12	chr1	92229002	92229435	-	ACTBP12
GLMN	chr1	92246402	92370844	-	GLMN
RPAP2	chr1	92299059	92402056	+	RPAP2
RN7SL824P	chr1	92402389	92402685	-	RN7SL824P
GFI1	chr1	92473043	92486925	-	GFI1
EVI5	chr1	92508696	92792410	-	EVI5
LOC107985727	chr1	92574963	92584617	-	LOC107985727
HMGB3P9	chr1	92646848	92647730	-	HMGB3P9
RNU4-59P	chr1	92700819	92700934	-	RNU4-59P
LOC100289500	chr1	92732018	92732618	+	LOC100289500
H3P3	chr1	92749175	92749330	-	H3P3
CCNJP2	chr1	92755671	92757253	+	CCNJP2
RPL5	chr1	92831986	92841924	+	RPL5
DIPK1A	chr1	92832729	92961462	-	DIPK1A
SNORD21	chr1	92837289	92837383	+	SNORD21
SNORA66	chr1	92840719	92840851	+	SNORA66
LOC124900443	chr1	92846059	92846182	+	LOC124900443
MND1P1	chr1	92931578	92932186	+	MND1P1
RNU6-970P	chr1	92969604	92969710	-	RNU6-970P
RN7SL692P	chr1	92974827	92975114	-	RN7SL692P
LOC124904219	chr1	92978270	92987407	+	LOC124904219
RNU6-210P	chr1	93010257	93010351	+	RNU6-210P
RN7SKP123	chr1	93026252	93026542	+	RN7SKP123
MTF2	chr1	93079283	93139076	+	MTF2
TMED5	chr1	93149742	93180413	-	TMED5
CCDC18	chr1	93179913	93278730	+	CCDC18
RPL36AP11	chr1	93190690	93191086	-	RPL36AP11
LOC107985521	chr1	93220467	93225691	-	LOC107985521
LOC100130531	chr1	93278768	93279186	-	LOC100130531
CCDC18-AS1	chr1	93310109	93345811	-	CCDC18-AS1
DR1	chr1	93345907	93369493	+	DR1
LOC100421273	chr1	93384494	93384994	-	LOC100421273
FNBP1L	chr1	93448118	93554661	+	FNBP1L
RNA5SP53	chr1	93488333	93488452	-	RNA5SP53
TRC-GCA7-1	chr1	93516277	93516349	-	TRC-GCA7-1
BCAR3	chr1	93561741	93848151	-	BCAR3
BCAR3-AS1	chr1	93591968	93600030	+	BCAR3-AS1
LOC102723480	chr1	93693151	93703655	+	LOC102723480
TRR-TCT1-1	chr1	93847573	93847657	+	TRR-TCT1-1
DNTTIP2	chr1	93866284	93879206	-	DNTTIP2
GCLM	chr1	93885199	93909430	-	GCLM
LOC124904221	chr1	93909592	93919598	+	LOC124904221
CHCHD2P5	chr1	93921269	93921669	-	CHCHD2P5
MTND4P11	chr1	93922575	93923557	-	MTND4P11
MTND3P21	chr1	93924386	93924716	-	MTND3P21
MTCO3P21	chr1	93924743	93925385	-	MTCO3P21
MTATP6P13	chr1	93925406	93926072	-	MTATP6P13
MTCO2P21	chr1	93926615	93927569	-	MTCO2P21
MTCO1P21	chr1	93927714	93928302	-	MTCO1P21
ABCA4	chr1	93992834	94121148	-	ABCA4
LOC124904222	chr1	94070359	94085434	+	LOC124904222
LOC105378858	chr1	94144819	94161851	-	LOC105378858
RN7SL440P	chr1	94150738	94151080	+	RN7SL440P
LOC124904821	chr1	94151418	94151521	+	LOC124904821
ARHGAP29	chr1	94168905	94314592	-	ARHGAP29
ARHGAP29-AS1	chr1	94247868	94334806	+	ARHGAP29-AS1
GAPDHP29	chr1	94301970	94303228	+	GAPDHP29
ABCD3	chr1	94385131	94518663	+	ABCD3
RPL21P26	chr1	94406387	94406922	-	RPL21P26
F3	chr1	94529173	94541759	-	F3
LOC124904223	chr1	94541974	94554465	+	LOC124904223
LOC105378861	chr1	94563103	94637065	+	LOC105378861
SLC44A3-AS1	chr1	94616352	94820232	-	SLC44A3-AS1
KATNBL1P2	chr1	94650353	94651484	-	KATNBL1P2
PGBD4P7	chr1	94672839	94674161	-	PGBD4P7
SLC44A3	chr1	94820357	94895247	+	SLC44A3
CNN3	chr1	94896957	94927110	-	CNN3
CNN3-DT	chr1	94926360	94963270	+	CNN3-DT
ALG14	chr1	94974405	95072951	-	ALG14
LOC124904224	chr1	94993491	95009001	+	LOC124904224
LOC105378863	chr1	95030305	95031531	+	LOC105378863
ALG14-AS1	chr1	95061596	95067545	+	ALG14-AS1
TLCD4	chr1	95092517	95197607	+	TLCD4
TLCD4-RWDD3	chr1	95117923	95244955	+	TLCD4-RWDD3
RWDD3-DT	chr1	95163219	95233982	-	RWDD3-DT
RWDD3	chr1	95234155	95247225	+	RWDD3
LINC01760	chr1	95310928	95318263	-	LINC01760
LOC105378864	chr1	95315788	95317983	-	LOC105378864
LOC105379825	chr1	95318347	95321641	+	LOC105379825
LINC01650	chr1	95351251	95352107	-	LINC01650
LOC107985420	chr1	95370261	95376692	+	LOC107985420
LINC01761	chr1	95474737	95479356	+	LINC01761
LINC02607	chr1	95510116	95515464	+	LINC02607
LOC101928219	chr1	95625433	95807857	+	LOC101928219
LOC124904592	chr1	95768076	95774166	-	LOC124904592
LINC02790	chr1	95992068	96022880	+	LINC02790
RNU1-130P	chr1	96225901	96226060	+	RNU1-130P
LINC01787	chr1	96254069	96374125	-	LINC01787
LOC101060164	chr1	96390651	96391389	+	LOC101060164
UBE2WP1	chr1	96418589	96418913	+	UBE2WP1
EEF1A1P11	chr1	96446867	96448614	+	EEF1A1P11
LOC105378866	chr1	96482467	96524343	+	LOC105378866
RN7SL831P	chr1	96583209	96583527	+	RN7SL831P
NDUFS5P2	chr1	96584407	96584787	-	NDUFS5P2
RPL7P9	chr1	96678808	96679640	-	RPL7P9
RN7SKP270	chr1	96695856	96696167	-	RN7SKP270
PTBP2	chr1	96721784	96823739	+	PTBP2
DPYD	chr1	97077743	97921059	-	DPYD
DPYD-AS1	chr1	97095923	97322955	+	DPYD-AS1
LOC105378867	chr1	97337659	97386009	+	LOC105378867
LOC124904226	chr1	97386011	97389945	+	LOC124904226
LOC124904225	chr1	97497650	97509003	+	LOC124904225
SEC63P1	chr1	97545689	97547160	+	SEC63P1
RPL26P9	chr1	97585866	97586300	+	RPL26P9
DPYD-AS2	chr1	97796921	97798051	+	DPYD-AS2
LOC100419654	chr1	97855575	97857016	+	LOC100419654
LINC01930	chr1	97933474	97941740	-	LINC01930
LOC124904227	chr1	97974249	97978221	-	LOC124904227
MIR137HG	chr1	97988000	98049693	-	MIR137HG
LOC124904228	chr1	98040914	98045503	-	LOC124904228
LOC124900404	chr1	98054379	98282505	+	LOC124900404
NFU1P2	chr1	98076814	98077500	+	NFU1P2
LINC01776	chr1	98210711	98272658	+	LINC01776
LOC124904229	chr1	98392579	98396486	+	LOC124904229
SNX7-DT	chr1	98660307	98660772	-	SNX7-DT
SNX7	chr1	98661319	98760500	+	SNX7
PLPPR5	chr1	98890245	99005786	-	PLPPR5
PLPPR5-AS1	chr1	99004276	99148852	+	PLPPR5-AS1
PLPPR4	chr1	99262924	99309584	+	PLPPR4
LOC107985093	chr1	99425170	99437290	-	LOC107985093
LOC124904580	chr1	99464390	99464787	+	LOC124904580
LINC01708	chr1	99472420	99487804	-	LINC01708
PALMD	chr1	99646113	99694535	+	PALMD
HMGB3P10	chr1	99698215	99699197	+	HMGB3P10
FRRS1	chr1	99703970	99766635	-	FRRS1
RNU4-75P	chr1	99784740	99784885	-	RNU4-75P
RPL39P9	chr1	99842561	99842962	+	RPL39P9
AGL	chr1	99849258	99924023	+	AGL
LOC124904230	chr1	99913197	100038008	-	LOC124904230
SLC35A3	chr1	99969996	100035634	+	SLC35A3
RNU6-750P	chr1	99978939	99979045	+	RNU6-750P
RNU6-1318P	chr1	100000637	100000739	-	RNU6-1318P
MFSD14A	chr1	100038095	100083377	+	MFSD14A
SASS6	chr1	100083570	100132930	-	SASS6
TRMT13	chr1	100133163	100150496	+	TRMT13
LRRC39	chr1	100148448	100179667	-	LRRC39
DBT	chr1	100186919	100249834	-	DBT
RPL23AP90	chr1	100196816	100197051	+	RPL23AP90
BRI3P1	chr1	100213223	100213950	+	BRI3P1
RTCA-AS1	chr1	100264742	100266174	-	RTCA-AS1
RTCA	chr1	100266216	100292769	+	RTCA
LOC646970	chr1	100331600	100332625	-	LOC646970
CDC14A	chr1	100345001	100520277	+	CDC14A
BCAS2P2	chr1	100392836	100393658	-	BCAS2P2
LOC105379827	chr1	100409136	100424072	-	LOC105379827
GPR88	chr1	100538139	100542021	+	GPR88
RPL7AP17	chr1	100586604	100587460	-	RPL7AP17
LINC01349	chr1	100627049	100647004	-	LINC01349
RPL36AP12	chr1	100651914	100652317	+	RPL36AP12
LOC124904231	chr1	100656245	100706157	+	LOC124904231
VCAM1	chr1	100719742	100739045	+	VCAM1
EXTL2	chr1	100872372	100895179	-	EXTL2
SLC30A7	chr1	100896090	100996078	+	SLC30A7
HNRNPA1P68	chr1	100940825	100942054	-	HNRNPA1P68
DPH5	chr1	100989623	101025784	-	DPH5
DPH5-DT	chr1	101025846	101087379	+	DPH5-DT
LOC124900440	chr1	101133153	101133339	+	LOC124900440
LOC101928334	chr1	101150615	101176555	+	LOC101928334
LOC124904817	chr1	101228664	101228765	-	LOC124904817
S1PR1-DT	chr1	101234873	101236528	-	S1PR1-DT
S1PR1	chr1	101236899	101242313	+	S1PR1
RPS20P6	chr1	101256276	101256659	+	RPS20P6
PPIAP7	chr1	101270665	101271410	-	PPIAP7
LOC102723784	chr1	101295661	101309155	-	LOC102723784
LINC01307	chr1	101323837	101377313	+	LINC01307
LINC01709	chr1	101639574	101787569	+	LINC01709
RNU6-965P	chr1	101728642	101728737	-	RNU6-965P
RPSAP19	chr1	101786266	101787298	-	RPSAP19
OLFM3	chr1	101802560	101996926	-	OLFM3
RNU6-352P	chr1	101859851	101859957	+	RNU6-352P
DNAJA1P5	chr1	101872012	101894743	+	DNAJA1P5
LOC107985095	chr1	102092988	102095810	+	LOC107985095
LOC124904645	chr1	102106591	102106689	-	LOC124904645
LOC105378874	chr1	102647903	102660714	-	LOC105378874
LOC112268286	chr1	102792968	102799923	-	LOC112268286
LOC107985096	chr1	102833588	102852453	+	LOC107985096
COL11A1	chr1	102876473	103108522	-	COL11A1
SOD2P1	chr1	103100140	103100707	-	SOD2P1
LOC124904593	chr1	103229573	103231981	-	LOC124904593
RNPC3-DT	chr1	103416980	103525508	-	RNPC3-DT
RN7SKP285	chr1	103523562	103523879	+	RN7SKP285
RNPC3	chr1	103525699	103555239	+	RNPC3
AMY2B	chr1	103554644	103579534	+	AMY2B
ACTG1P4	chr1	103569404	103571391	+	ACTG1P4
AMY2A	chr1	103616651	103625780	+	AMY2A
AMY1A	chr1	103655519	103664554	+	AMY1A
LOC124904594	chr1	103669003	103681271	-	LOC124904594
AMY1B	chr1	103687415	103696453	-	AMY1B
LOC105378878	chr1	103700592	103701438	-	LOC105378878
AMYP1	chr1	103713720	103719905	+	AMYP1
AMY1C	chr1	103749654	103758692	+	AMY1C
LOC100131348	chr1	103926566	103927884	+	LOC100131348
THAP3P1	chr1	104073023	104077086	+	THAP3P1
LOC105378879	chr1	104132205	104150725	+	LOC105378879
FTLP17	chr1	104153329	104154037	-	FTLP17
LOC105378880	chr1	105001026	105025102	-	LOC105378880
CDK4P1	chr1	105433994	105434821	+	CDK4P1
LOC105378881	chr1	105473602	105489957	-	LOC105378881
LINC01676	chr1	105589694	105618935	-	LINC01676
LOC105378882	chr1	105668851	105673290	-	LOC105378882
SEPTIN2P1	chr1	105698030	105698227	+	SEPTIN2P1
LOC105378883	chr1	105830359	105859474	+	LOC105378883
MATR3P3	chr1	105889535	105891476	-	MATR3P3
LOC401957	chr1	105891531	105893519	+	LOC401957
LINC01677	chr1	105927624	106028253	-	LINC01677
LOC124904595	chr1	106028147	106028584	+	LOC124904595
LOC107985116	chr1	106038350	106042758	+	LOC107985116
LOC105378886	chr1	106046545	106048833	+	LOC105378886
LOC105378885	chr1	106048208	106073156	-	LOC105378885
LOC126987	chr1	106080628	106081379	-	LOC126987
LOC124904596	chr1	106231519	106235549	+	LOC124904596
LOC105378887	chr1	106448066	106485680	+	LOC105378887
LOC124904232	chr1	106581395	106607041	+	LOC124904232
LOC124904233	chr1	106748139	106750769	+	LOC124904233
MTCO3P14	chr1	106802626	106802750	+	MTCO3P14
MTATP6P14	chr1	106802755	106803427	-	MTATP6P14
MTCO2P14	chr1	106803681	106804327	+	MTCO2P14
MTCO1P14	chr1	106804474	106806032	-	MTCO1P14
NDE1P1	chr1	106817651	106818339	+	NDE1P1
LINC01661	chr1	106818239	106838193	+	LINC01661
LOC105378888	chr1	106831263	106843817	-	LOC105378888
PRMT6	chr1	107056674	107059294	+	PRMT6
NTNG1	chr1	107140088	107484923	+	NTNG1
NDUFA4P1	chr1	107505128	107505628	+	NDUFA4P1
VAV3	chr1	107571161	107965180	-	VAV3
TRUND-NNN8-1	chr1	107953653	107953723	-	TRUND-NNN8-1
VAV3-AS1	chr1	107964443	107994607	+	VAV3-AS1
LINC02785	chr1	108064500	108075391	+	LINC02785
SLC25A24	chr1	108134043	108200343	-	SLC25A24
NBPF4	chr1	108222464	108272913	-	NBPF4
SLC25A24P1	chr1	108273139	108337853	+	SLC25A24P1
NBPF5P	chr1	108375971	108383614	+	NBPF5P
SLC25A24P2	chr1	108383689	108421239	-	SLC25A24P2
NBPF6	chr1	108421491	108471920	+	NBPF6
ST13P21	chr1	108502266	108503650	+	ST13P21
RPL7L1P21	chr1	108508573	108509398	+	RPL7L1P21
EEIG2	chr1	108560100	108639322	+	EEIG2
HENMT1	chr1	108648295	108661474	-	HENMT1
LOC105378890	chr1	108664267	108666841	+	LOC105378890
PRPF38B	chr1	108692310	108702928	+	PRPF38B
FNDC7	chr1	108712908	108742749	+	FNDC7
STXBP3	chr1	108746674	108809523	+	STXBP3
LOC100271656	chr1	108762499	108767645	-	LOC100271656
LOC105378891	chr1	108813590	108837208	+	LOC105378891
AKNAD1	chr1	108815901	108858244	-	AKNAD1
SPATA42	chr1	108857217	108858524	+	SPATA42
GPSM2	chr1	108876985	108934545	+	GPSM2
CLCC1	chr1	108929505	108963484	-	CLCC1
WDR47	chr1	108970214	109042102	-	WDR47
LOC107985160	chr1	108986687	108987340	-	LOC107985160
RPL17P7	chr1	108992261	108992874	+	RPL17P7
RPS27P6	chr1	109030031	109030376	+	RPS27P6
RANP5	chr1	109046783	109047661	+	RANP5
TAF13	chr1	109064140	109076003	-	TAF13
TMEM167B-DT	chr1	109078292	109084750	-	TMEM167B-DT
TMEM167B	chr1	109090764	109096934	+	TMEM167B
NDUFB3P1	chr1	109092467	109093040	-	NDUFB3P1
SCARNA2	chr1	109100193	109100612	+	SCARNA2
LOC100420092	chr1	109103248	109104768	-	LOC100420092
CFAP276	chr1	109105951	109113831	-	CFAP276
ELAPOR1	chr1	109114115	109206781	+	ELAPOR1
SARS1	chr1	109213893	109238182	+	SARS1
CELSR2	chr1	109249539	109275751	+	CELSR2
PSRC1	chr1	109279556	109283145	-	PSRC1
MYBPHL	chr1	109292365	109307011	-	MYBPHL
SORT1	chr1	109309575	109397918	-	SORT1
PSMA5	chr1	109399042	109426448	-	PSMA5
SYPL2	chr1	109466546	109482134	+	SYPL2
ATXN7L2	chr1	109483905	109492804	+	ATXN7L2
CYB561D1	chr1	109494094	109500435	+	CYB561D1
AMIGO1	chr1	109504178	109509727	-	AMIGO1
LOC105378893	chr1	109510602	109522451	-	LOC105378893
GPR61	chr1	109539872	109547260	+	GPR61
GNAI3	chr1	109548615	109600195	+	GNAI3
RNU6V	chr1	109591305	109591640	-	RNU6V
GNAT2	chr1	109603091	109619616	-	GNAT2
AMPD2	chr1	109619837	109632055	+	AMPD2
RPL7P8	chr1	109651356	109651958	+	RPL7P8
GSTM4	chr1	109656099	109667727	+	GSTM4
GSTM2	chr1	109668057	109683997	+	GSTM2
GSTM1	chr1	109687817	109693745	+	GSTM1
GSTM5	chr1	109711751	109718268	+	GSTM5
GSTM3	chr1	109733937	109741038	-	GSTM3
EPS8L3	chr1	109750080	109763923	-	EPS8L3
LOC124904258	chr1	109759865	109775428	+	LOC124904258
NDUFA5P10	chr1	109809461	109811014	-	NDUFA5P10
LINC01768	chr1	109828054	109905893	+	LINC01768
CSF1	chr1	109910506	109930992	+	CSF1
AHCYL1	chr1	109984765	110023742	+	AHCYL1
STRIP1	chr1	110031577	110054641	+	STRIP1
LOC105378895	chr1	110032296	110035439	-	LOC105378895
ALX3	chr1	110059870	110070672	-	ALX3
LINC01397	chr1	110082688	110109719	+	LINC01397
UBL4B	chr1	110112443	110113947	+	UBL4B
SLC6A17	chr1	110150494	110202202	+	SLC6A17
SLC6A17-AS1	chr1	110165948	110168851	-	SLC6A17-AS1
KCNC4-DT	chr1	110208450	110209987	-	KCNC4-DT
KCNC4	chr1	110210314	110284080	+	KCNC4
LOC124900436	chr1	110272484	110272607	+	LOC124900436
RBM15-AS1	chr1	110286375	110339171	-	RBM15-AS1
LOC124904276	chr1	110334265	110339003	+	LOC124904276
RBM15	chr1	110339377	110346677	+	RBM15
SLC16A4	chr1	110362857	110391026	-	SLC16A4
LAMTOR5	chr1	110401253	110407924	-	LAMTOR5
LAMTOR5-AS1	chr1	110407809	110416274	+	LAMTOR5-AS1
PROK1	chr1	110451149	110457358	+	PROK1
LOC105378899	chr1	110472542	110473646	-	LOC105378899
LOC105378898	chr1	110473757	110474082	+	LOC105378898
CYMP	chr1	110480766	110491269	+	CYMP
CYMP-AS1	chr1	110487680	110490258	-	CYMP-AS1
KCNA10	chr1	110517217	110519175	-	KCNA10
LOC124904292	chr1	110525453	110526827	+	LOC124904292
KCNA2	chr1	110593580	110631440	-	KCNA2
KCNA3	chr1	110653560	110674940	-	KCNA3
LOC107985174	chr1	110685659	110692867	+	LOC107985174
LOC124904296	chr1	110748884	110763767	-	LOC124904296
LOC105378901	chr1	110764528	110774344	-	LOC105378901
NRBF2P3	chr1	110847585	110849072	-	NRBF2P3
OR11I1P	chr1	110854099	110855092	+	OR11I1P
CD53	chr1	110871210	110899922	+	CD53
LRIF1	chr1	110874957	110963922	-	LRIF1
CCNT2P1	chr1	111007637	111015545	-	CCNT2P1
RNA5SP54	chr1	111041834	111041925	+	RNA5SP54
DRAM2	chr1	111117163	111140093	-	DRAM2
CEPT1	chr1	111139499	111185104	+	CEPT1
DENND2D	chr1	111185969	111204578	-	DENND2D
CHI3L2	chr1	111227659	111243440	+	CHI3L2
CHIAP1	chr1	111251012	111256716	+	CHIAP1
CHIAP2	chr1	111280524	111286108	+	CHIAP2
CHIA	chr1	111290851	111320563	+	CHIA
LOC105378903	chr1	111323751	111324563	-	LOC105378903
CIMAP3	chr1	111324663	111353017	+	CIMAP3
LOC105378904	chr1	111361540	111371692	-	LOC105378904
HIGD1AP12	chr1	111380188	111380769	+	HIGD1AP12
PGBP	chr1	111384519	111389851	-	PGBP
OVGP1	chr1	111414319	111427735	-	OVGP1
LOC124904309	chr1	111414812	111419728	+	LOC124904309
UBE2FP3	chr1	111437514	111438037	+	UBE2FP3
WDR77	chr1	111439890	111449256	-	WDR77
ATP5PB	chr1	111449464	111462773	+	ATP5PB
C1orf162	chr1	111473984	111478512	+	C1orf162
TMIGD3	chr1	111483348	111563962	-	TMIGD3
RNU6-792P	chr1	111490317	111490423	-	RNU6-792P
ADORA3	chr1	111499429	111503633	-	ADORA3
RAP1A	chr1	111542009	111716691	+	RAP1A
LINC01160	chr1	111599007	111608318	-	LINC01160
LOC107985184	chr1	111617611	111620398	-	LOC107985184
KRT18P57	chr1	111648223	111649597	-	KRT18P57
RNU6-151P	chr1	111650431	111650537	-	RNU6-151P
INKA2	chr1	111722064	111755797	-	INKA2
INKA2-AS1	chr1	111739841	111747798	+	INKA2-AS1
LOC101928718	chr1	111745317	111755509	-	LOC101928718
DDX20	chr1	111755901	111768000	+	DDX20
KCND3	chr1	111770662	111989668	-	KCND3
LOC124904312	chr1	111787103	111796102	+	LOC124904312
KCND3-IT1	chr1	111853762	111856905	-	KCND3-IT1
KCND3-AS1	chr1	111909657	111910930	+	KCND3-AS1
LINC01750	chr1	111990536	111998842	+	LINC01750
LOC105378906	chr1	112005933	112008258	+	LOC105378906
LOC124904319	chr1	112086695	112095551	-	LOC124904319
LOC124904845	chr1	112195494	112195606	+	LOC124904845
LINC02884	chr1	112229673	112360607	-	LINC02884
TXNP3	chr1	112363199	112363661	+	TXNP3
LOC124904812	chr1	112371004	112371107	+	LOC124904812
CTTNBP2NL	chr1	112391087	112461164	+	CTTNBP2NL
WNT2B	chr1	112466541	112530165	+	WNT2B
ST7L	chr1	112517803	112619684	-	ST7L
CAPZA1	chr1	112619832	112671616	+	CAPZA1
MRPL53P1	chr1	112625872	112626225	-	MRPL53P1
RNU7-70P	chr1	112634729	112634781	-	RNU7-70P
LOC124904810	chr1	112652588	112652688	+	LOC124904810
MOV10	chr1	112674439	112700739	+	MOV10
RHOC	chr1	112701131	112707408	-	RHOC
PPM1J	chr1	112709998	112715332	-	PPM1J
PPM1J-DT	chr1	112715611	112717796	+	PPM1J-DT
TAFA3	chr1	112718905	112727235	+	TAFA3
NUTF2P4	chr1	112748095	112748489	+	NUTF2P4
LINC01356	chr1	112820169	112850643	-	LINC01356
LINC01357	chr1	112849857	112877871	+	LINC01357
LOC105378911	chr1	112857528	112868384	-	LOC105378911
